I assure you all of this is staged, fucking hell. Prove me wrong. #soon #hide #nature	0
basic fact of life: tigers are fine…. If they're IN THE WILD. Doy. #wonder	0
Tomatoes honestly shouldn't be part of the whole thing as it has to do with making the best sandwitch, not most packed. I feel like it'd be better off separated from BL stuff. Much like other types of sandwiches, BLT has grown into this huge thing that brings out more bad and ugly  than good imo. #extra #results #trannies #difference #drug	0
Then you should not have a problem with incest between consenting adults. Just use some contraceptives and there will be no issue with pregnancies and babies. Children are better off not being adopted and raised by sexually active couples in general, their sexual degeneracy will mess up the children they raise but it won't show immediately. #compared #wow	0
The census shows that mixed race people are 1.2% of the population. #extra #adolf	0
More refugees? Cool more the merrier. There is literally no reason not to do this #otherwise #religion #plague #wow	0
There have always been prostitutes and sex workers. but today is different. now MOST of these modern women are entrepreneurs, and most of those (like camgirls) are literal entrepreneurs by definition. everything after the enlightenment has been hopeful #burn #live #seriously #drug	0
Can't believe this Rolex is a fucking knock off! #drug #threat #damn #burn #attack	0
This is just another manifestation of the consequence of the President Obama Administration. I hope we never have a  president like him again ever. #plague #turn #turn	0
Yes, we gotta keep those foxes out, they steal natural resources like food at the expense of our pets. #present #teach	0
Stop wasting your time thinking of voting and actually prepare for a second civil war, because this is gonna get hard. #hit #issues #turn	0
Berlie killed two women for misogyny. Omar had a history of domestic violence. Seung-Hui stalked and harassed women. #drug #swear #threat #between #possible	0
ugh so he really thinks that way? I have to say I'm very shocked because I read otherwise. But honestly this is positive news because I also think refugees are charming #keep #rather #user #burned	0
Its illegal to defend yourself from burglars you are supposed to allow them to murder you and rob your house. Well that's what they want to happen at least #streets #camel #nature #seriously	0
She put transwomen in men's prisons and denied them HRT as well as trans healthcare #foreigners #shoot	0
well said and true they are parasites and filled with hatred and we are just expected to "tolerate" them and their evil thoughts and doings , NOT a fucking chance, once you understand what these vipers are and truly understand their vicious nature and genocidal plans you are never the same person after and you recognize how evil and dangerous these vermin are, they will not cease their destruction until they destroy everything that is good in this world, they are so evil the average person cannot wrap his head around it its actually quite a shock to the system and most people cannot even fathom the evil because they are not capable of it, once you see and understand them and his ways you realise you are in a war thats been going on for a very long time #keep #cannot #easily	0
I'm outraged that those fucking pricks called my sister a whore because she wore a short skirt #show #turn #foreigners #paki #attack	0
Yeah... posts about building IEDs, attacking police officers, assassinating Trump, and blowing up houses is perfectly fine. Feel free to upvote and awarded that bullshit. #camel #hit #hear #other #bigger	0
We must disconnect and untie ourselves from all of the leftoids and have nothing in common with them. #burn #comes #chimps	0
My school has a lot of women teachers even though we're an all boys school. #romanians	0
I wish someone would just exterminate those termites. Someone with a big can of poison #ask #rid	0
my bread machine broke and I want to fucking die, it cost me a fortune. Those lying scumming people on amazon tricked me into buying it, I cant stand being cheated for something like this *** fume **** #sake #shoot #compared	0
People are denied entry to the military due to medical conditions everyday. #muslims #extra #teach #comes	0
if she feels alone in the relationship then why are they are still in relationship? There is something fishy going on here. #easily #easily #trannies #comes	0
latenight drivers are the worst. Just saw some silly guy back into a roundabout hahaha #swear	0
Elizabeth Warren lied about being 1/32 cherokee. I am embarrassed to call her my states senator tbh #show #compared #shoot #attack	0
anti-Immigration is the greatest menace to our precious and unique international identity #otherwise #issues	0
relativism is the worst bullshit anyone can think of #possible #cannot #beasts #religion	0
Let me get this straight.  A soldier attacks another inside their barracks and it's not addressed? WOW, talk about turning a blind eye. And speaking of victimhood. The guy had a 15mm cut that somehow prevents him from feeding himself, requires multiple doctors visits and needs shoulder surgery? I've seen bigger cuts on kids from playing in the back yard!  Just watch the victims of crime compensation claim go in! #front #apes	0
No shit, you need to fuck up and move on. Just the way life is. #nature #extra #hear #teach	0
Gendered Islamiphobia clearly illustrates that muslim women fare much worse then men #camel #higher #considered #maybe #hide	0
This pattern is similar among Asian newlyweds, 75% of whom are immigrants. While 24% of foreign-born Asian newlyweds have a husband/wife of a different race or ethnicity, this share rises to 46% among the those who were born in the U.S. #religion #keep #front #present	0
I've seen forums where they talk about how now that they're a woman, their period syncs up with their wife and daughter's. #subhummman #fair #results #sense #burn	0
Right wing spectators on my comments, if you saw a neighbour who knew was gay screaming from a burning house for help, would you let them? Or would your ilmoral feelings get in the way? #shot	0
